url	titolo	prezzo	descrizione	scheda_tecnica	img_file
https://www.j-pop.it/rosario-vampire/381-rosario-vampire-04.html	Rosario + Vampire 04	['Prezzo: 4,40 €']	Anche le creature soprannaturali hanno bisogno di vacanze! La signorina Nekonome decide perciò di portare Tsukune, Medaka e gli altri iscritti al club di giornalismo nel mondo degli uomini per realizzare un bel reportage! Ma Yukari, la piccola strega, ha un brutto presentimento... E se gli umani fossero più mostruosi dei mostri stessi?	[['Autore: Akihisa Ikeda'], ['Serie: GP Legends 04'], ['Pagine: 208'], ['Formato: 11.5x17.5'], ['ISBN: 9788864688466'], ['Genere: Fantasy, Azione, Shonen']]	https://www.j-pop.it/379-thickbox_default/rosario-vampire-04.jpg
https://www.j-pop.it/rosario-vampire/382-rosario-vampire-05.html	Rosario + Vampire 05	['Prezzo: 4,40 €']	Una cosa è certa... Tsukune attira i problemi come una calamita! è appena tornato dal mondo umano e già una ragazzina di nome Mizore s'invaghisce di lui. Lo so, starete pensando: 'Chissà che problema, una ragazza innamorata?' Provate voi a sopportare una stalker che spia ogni vostro gesto, 24 ore su 24, e che pretende dedichiate a lei ogni briciolo della vostra attenzione... Senza contare i dubbi e i tormenti che questo comportamento susciterà in... una vampira sul punto di cadere nella gelida morsa della gelosia!	[['Autore: Akihisa Ikeda'], ['Serie: GP Legends 05'], ['Pagine: 208'], ['Formato: 11.5x17.5'], ['ISBN: 9788864688473'], ['Genere: Fantasy, Azione, Shonen']]	https://www.j-pop.it/380-thickbox_default/rosario-vampire-05.jpg
https://www.j-pop.it/forbidden-love/1-forbidden-love-06.html	Forbidden Love 06	['Prezzo: 4,30 €']	Le vite di Hisako e Yato sembrano procedere tranquillamente... per quanto possano essere tranquille le giornate di un'antiquaria innamorata di un lupo immortale capace di trasformarsi in uno splendido ragazzo al calare delle tenebre. Ma prima l'arrivo della bella quanto sconvolgente madre di Hisako, e poi la maledizione che grava su un magico fermacapelli, sembrano voler ostacolare il sereno scorrere delle ore, scandito solo dai loro battiti di cuore che rintoccano all'unisono. Sempre in bilico tra romanticismo e ironia, Tomu Ohmi ci regala un manga curato, divertente e sempre più appassionato!	[['Autore: Ohmi Tomu'], ['Serie: GP Candy 18'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682389'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/1-thickbox_default/forbidden-love-06.jpg
https://www.j-pop.it/forbidden-love/2-forbidden-love-07.html	Forbidden Love 07	['Prezzo: 4,30 €']	Che sia per caso o per destino, Hisato e il suo tenebroso e soprannaturale innamorato Yato stanno per fare un viaggio nel cuore della Germania, proprio il paese d'origine del lupo capace di trasformarsi in uomo. Ma se all'inizio la bella antiquaria era felice di conoscere il passato del suo amato, ora la paura di perdersi nelle spire di una storia che non potrà mai sentire sua, riempie il suo cuore d'incertezza. Riuscirà il loro amore a superare queste difficoltà? E Yato rinuncerà a guidare il suo immenso branco, da poco ritrovato? Tra turbamenti del cuore e scoperte sconcertanti continua il manga di Tomu Ohmi, sempre più intrigante, sempre più passionale.	[['Autore: Ohmi Tomu'], ['Serie: GP Candy 19'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682396'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/2-thickbox_default/forbidden-love-07.jpg
https://www.j-pop.it/forbidden-love/3-forbidden-love-08.html	Forbidden Love 08	['Prezzo: 4,30 €']	Il viaggio in Germania della bella Hisato e di Yato, il suo sovrannaturale compagno, si trasforma in un vero e proprio incubo. In Europa, infatti, il lupo capace di trasformarsi in uomo ritrova il figlio perduto e scopre la triste fine dell'ex compagna. Incapace di resistere al dolore, Yato scompare, lasciando Hisato sola con la consapevolezza di non poter comprendere l'angoscia del suo innamorato. Basterà il loro amore a superare questa prova? Sempre più passionale, il manga di Tomu Ohmi racconta il lato oscuro di un amore impossibile.	[['Autore: Ohmi Tomu'], ['Serie: Gp Candy 20'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682396'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/3-thickbox_default/forbidden-love-08.jpg
https://www.j-pop.it/forbidden-love/4-forbidden-love-09.html	Forbidden Love 09	['Prezzo: 4,30 €']	Dopo il terribile viaggio in Germania, Hisato e Yato hanno bisogno di un po' di relax, per godersi il loro amore ritrovato e superare gli orrori emersi dal passato del lupo capace di trasformarsi in uomo. Ma quando una tranquilla passeggiata al parco si trasforma in una fiaba, e la giovane commessa viene posseduta dallo spirito della principessa Orihime, protagonista della leggenda 'Tanabata', vuol dire che il destino non vuole lasciare in pace i due protagonisti di quest'amore proibito. Se ci mettete poi che l'ex fidanzato di Hisato è tornato in città per riprendersi la donna che ama... Be', capite bene che questo è un numero da non perdere!	[['Autore: Ohmi Tomu'], ['Serie: GP Candy 21'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682419'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/4-thickbox_default/forbidden-love-09.jpg
https://www.j-pop.it/forbidden-love/5-forbidden-love-10.html	Forbidden Love 10	['Prezzo: 4,30 €']	La luna ha due volti. Un lato è splendido e luminoso, capace di ammaliare poeti e cantanti, l'altro, invisibile dalla Terra, nasconde un mistero antico e inaccessibile. Anche Yato, la cui stessa esistenza è legata indissolubilmente ai movimenti del satellite d'argento, nasconde un lato oscuro, un tetro passato che nemmeno l'affetto di Hisako riesce a illuminare. L'amore tra un lupo capace di trasformarsi in uomo e una normale ragazza giapponese, può superare tutte queste difficoltà e trasformarsi in un sogno senza fine? Scopritelo nell'ultimo volume dello splendido manga di Tomu Ohmi!	[['Autore: Ohmi Tomu'], ['Serie: GP Candy 22'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682426'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/5-thickbox_default/forbidden-love-10.jpg
https://www.j-pop.it/forbidden-love/6-forbidden-love-01.html	Forbidden Love 01	['Prezzo: 4,30 €']	Si dice che l'amore, quello vero, puro e incondizionato; possa resistere a qualsiasi ostacolo. Ma l'amore tra Hisako e Yato è maledetto e proibito perché Yato è una creatura davvero oscura... è un lupo che si trasforma in uomo solo al sorgere della luna. Può un amore sopravvivere alla struggente solitudine dell'essere così vicini quanto incommensurabilmente lontani allo stesso tempo... o finirà con il bruciare con lo stesso ardore con cui vengono consumate le poche ore a disposizione insieme... Hisako e Yato dovranno lottare contro tutto e contro tutti; contro il destino, contro la gente, contro i pregiudizi... e anche contro la loro stessa paura di amare in modo vero, puro e incondizionato. Da Tomu Ohmi una storia d'amore forte e appassionante.	[['Autore: Ohmi Tomu'], ['Serie: GP Generation 12'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 977203708100010011'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/6-thickbox_default/forbidden-love-01.jpg
https://www.j-pop.it/forbidden-love/7-forbidden-love-02.html	Forbidden Love 02	['Prezzo: 4,30 €']	Una storia d'amore intensa e passionale, una storia d'amore distruttiva e lacerante. Una storia d'amore proibito, la storia di Hisako e Yato. Lei è giovane, bellissima e innocente. Lui è un uomo tenebroso, forte e affascinante, ma solo al sorgere della luna perché per il resto del tempo Yato è... un lupo! Al di là dei pregiudizi e delle difficoltà portate dalla maledizione che incombe sulla loro relazione, continua questa dolce storia d'amore, condita con sapienza da un'accattivante dose di malizia e qualche spruzzata di humour, dall'autrice Tomu Ohmi. Da non perdere!	[['Autore: Ohmi Tomu'], ['Serie: GP Generation 14'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 977203708100010014'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/7-thickbox_default/forbidden-love-02.jpg
https://www.j-pop.it/forbidden-love/8-forbidden-love-03.html	Forbidden Love 03	['Prezzo: 4,30 €']	Hisato è giovane, bella e innocente. Yato è forte, tenebroso e affascinante. Ma la loro storia d'amore è proibita, perché Yato nasconde un terribile quanto arcano segreto: al sorgere della luna si trasforma in un grosso e feroce lupo. Basterà l'amore per superare la maledizione che trasforma una relazione in una scommessa contro il destino? Continua l'intrigante manga di Tomu Ohmi, dove l'amore più puro e incondizionato si scontra con la crudeltà di una maledizione senza tempo.	[['Autore: Ohmi Tomu'], ['Serie: GP Generation 16'], ['Numero volumi: Serie di 10'], ['Formato: 11.5x17.5'], ['ISBN: 9788864682358'], ['Genere: Sentimentale, Shojo']]	https://www.j-pop.it/1124-thickbox_default/forbidden-love-03.jpg
