url	titolo_originale	titolo_inglese	casa_ed	nazionalità	disegni	storia	categoria	genere	anno	volumi	stato_patria	stato_ita	disponibilità	valutazione	opinioni	serializzato	tag	utenti	trama
https://www.animeclick.it/manga/15065/hinomaru-zumou	Hinomaru-Zumou	Hinomaru Zumo	Shueisha	Giappone	Kawada	Kawada	Shounen	Scolastico  Sport	2014 - 2019	28	completato	inedito	Nessuna	7,000   (#3089 in manga) (1 valutazioni con 0 recensioni)	0  0  0 - 0,00% promosso	Shuukan Shounen Jump	ambizioni  arti-marziali  club-scolastico  sumo  crescita-dei-protagonisti  protagonista-maschile-forte  Protagonista-basso  Protagonista-ambizioso  Protagonista-determinato	1 In lettura, 1 Completo, 2 Pausa, 0 Sospeso, 0 Da rileggere, 17 Da leggere - drop rate: 0,00%	"[""Trama: Un rituale divino, un'arte marziale, un combattimento sportivo: il sumo è tutto questo!"", 'Ushio Hinomaru, un ""piccolo"", nuovo studente del liceo Oodachi, decide di iscriversi al club di sumo, un circolo che purtroppo non gode di alcuna gloria. ""Grosso"" e ""pesante"" sono le parole chiave di uno sport come il sumo e anche se Ushio non rispecchia per nulla queste caratteristiche, si impegnerà al massimo. Il ragazzo e il piccolo club ce la metteranno tutta per giungere alla vetta e conquistare il titolo di Hinoshita Kaisan (il grado più alto nel sumo professionistico).']"
https://www.animeclick.it/manga/21046/hiraheishi-wa-kako-o-yumemiru	Hiraheishi wa Kako wo Yumemiru	Hiraheishi wa Kako o Yumemiru	Alpha Polis	Giappone	Izo Suzuki	Yū Okano	Shounen	Drammatico  Fantasy  Soprannaturale	2016	4	in corso	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Alpha Polis	viaggio-nel-tempo  Demoni  Reincarnazione  Seconda-possibilità  Rinascita  Spade-Spadaccini	4 In lettura, 1 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 5 Da leggere - drop rate: 0,00%	"[""Trama: Quando le truppe del Re dei Demoni attaccano l'umanità si scatena una lunga guerra in cui ogni speranza sembra venir meno fino al momento in cui un manipolo di coraggiosi eroi riesce finalmente a sconfiggere il Re dei Demoni. John Serieux, un soldato di medio rango all'interno della resistenza umana, riesce ad assistere al momento della vittoria degli Eroi appena prima di venire a sua volta ucciso. Quando l'uomo riesce miracolosamente a riaprire gli occhi, John si ritrova davanti al viso della madre... realizzando così di essere tornato un neonato. Ancora in possesso i tutti i ricordi del sé stesso adulto e determinato a sventare la catena di tragici eventi che hanno strappato a lui i suoi cari, John si impegna a sfruttare le proprie conoscenze per prepararsi al futuro con la massima efficienza - e, se possibile, di provare a cambiarlo.""]"
https://www.animeclick.it/manga/18828/hirameki-hatsume-chan	Hirameki Hatsumechan	Inspiration Miss Hatsume	Mag Garden	Giappone	Daioki	Daioki	Shounen  Strisce	Commedia  Fantascienza  Slice of Life	2009	6	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Comic Blade	Gag  Scuola-elementare  Cugini  Invenzioni	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 0 Da leggere	['Trama: La storia segue le avventure di tutti i giorni di una geniale bambina delle elementari chiamata Hatsume e della sua invenzione, un robot a forma di scatola chiamato Hako.']
https://www.animeclick.it/manga/29842/hirosekun-no-mannakade	Hirosekun no Mannaka de	Hirose-kun no Mannaka de	Kodansha	Giappone	Takaya Fukuhara	Takaya Fukuhara	Shounen	Scolastico  Slice of Life  Soprannaturale  Sport	2018	2	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Magazine Pocket	Gag  Scuola-elementare  Cugini  Invenzioni	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 1 Da leggere	['Trama:']
https://www.animeclick.it/manga/20696/hirune-hime	Hirune Hime: Shiranai Watashi no Monogatari	Ancien and the Magic Tablet / Napping Princess: The Story of the Unknown Me	Kadokawa Shoten	Giappone	Hana Ichika	Kenji Kamiyama	Shounen	Fantascienza  Scolastico  Slice of Life	2017	2	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Newtype	olimpiadi  Orfani-orfanotrofio  Dramma-familiare  sonnolenza  incubi	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 4 Da leggere	"['Trama: ""Ah, è successo di nuovo! Come mai finisco per addormentarmi nel bel mezzo della giornata? Mi chiamo Kokone Morikawa e vivo con mio padre che è fissato col car modding. Ultimamente ho un sogno ricorrente, quello strano ma rassicurante sogno deve avere a che fare con il segreto che viene nascosto dalla mia famiglia!""', ""Tratto dall'omonimo film, il manga sarà ambientato nella Prefettura di Okayama nel 2020, poco prima delle Olimpiadi di Tokyo. Kamiyama ha descritto la storia come quella del rapporto fra un padre ed una figlia e dei loro legami.""]"
https://www.animeclick.it/manga/26969/hisone-to-masotan	Hisone to Masotan	Hisone and Masotan	Kadokawa Shoten	Giappone	Toshinao Aoki	Toshinao Aoki	Shounen	Azione  Commedia  Fantasy  Guerra  Slice of Life	2018	1	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Dragon Age	Draghi  corpo-militare-soldati-esercito  Aerei-piloti-aviazione	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 1 Da leggere	"[""Trama: Hisone è una ragazza timida che finisce sempre col ferire le persone attorno a lei a causa del fatto che non riesce a bloccare il flusso dei suoi pensieri, che le escono di bocca senza freni inibitori. Da tempo, quindi, per evitare di dire troppo, cerca di parlare il meno possibile; ma così non si esprime a dovere e crea dei fraintendimenti. Diplomatasi, si arruola nell'aeronautica dove, grazie alla disciplina militare, spera di mantenere una certa distanza dalla gente; ma questa decisione finirà per sconvolgerle la vita. Un giorno Hisone, di stanza alla base di Gifu, viene inviata al misterioso Hangar 8, dove incontra l'OTF (Organic Transformed Flyer), un drago nascosto all'opinione pubblica. L'animale la sceglierà e lei - suo malgrado - dovrà diventarne pilota. Da quel momento i due instaureranno un rapporto di grande amicizia. Inoltre, si dice che il drago nasconda la chiave per il futuro del mondo...""]"
https://www.animeclick.it/manga/11626/kenichi-gaiden	Shijou saikyou no Gaiden	"""Historys Strongest Another Stories"""	Shogakukan	Giappone	Syun Matsuena	Syun Matsuena	Shounen	Azione  Combattimento  Commedia  Ecchi  Raccolta	2007	1	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Shuukan Shounen Sunday	arti-marziali	2 In lettura, 9 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 13 Da leggere - drop rate: 0,00%	['Trama: Raccolta di storie brevi legate al mondo di Kenichi.']
https://www.animeclick.it/manga/12719/kenichi-plus	Shijou saikyou no deshi Kenichi Plus	"""Historys Strongest Disciple Kenichi Plus"""	Shogakukan	Giappone	Syun Matsuena	Syun Matsuena	Shounen	Combattimento  Commedia  Ecchi  Raccolta	2012	1	completato	inedito	Nessuna	7,250   (#1752 in manga) (2 valutazioni con 0 recensioni)	0  0  0 - 0,00% promosso	Shounen Sunday S	arti-marziali	4 In lettura, 11 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 19 Da leggere - drop rate: 0,00%	['Trama: Raccolta di storie brevi incentrati su personaggi secondari della saga di Kenichi come Tanimoto, Kanou Shou, Loki e N°20.']
https://www.animeclick.it/manga/25844/hitman	Hitman	Hitman	Kodansha	Giappone	Kōji Seo	Kōji Seo	Shounen	Commedia  Sentimentale  Slice of Life	2018	10	in corso	inedito	Nessuna	7,200   (#1911 in manga) (1 valutazioni con 0 recensioni)	0  0  0 - 0,00% promosso	Shuukan Shounen Magazine	Relazione-scrittore-editor  Manga-nel-manga  Biancheria  Editoria	2 In lettura, 0 Completo, 1 Pausa, 1 Sospeso, 0 Da rileggere, 5 Da leggere - drop rate: 25,00%	"['Trama: Ryunosuke Kenzaki è un nuovo editor di Weekly Shounen Magazine, che incontra però il primo scoglio quando il suo amore per una serie ""non esattamente popolare"" lo rende poco amato dai colleghi. Un giorno, incontra Tsubasa Takahashi, aspirante mangaka, e decide di tentare d\'affermarsi cercando di renderla la fumettista numero uno del Giappone.']"
https://www.animeclick.it/manga/13309/hitogatana	Hitogatana	Hitogatana	Mag Garden	Giappone	Onigunsō	Onigunsō	Shounen	Azione  Combattimento  Fantascienza  Soprannaturale	2009	10	in corso	inedito	Nessuna	6,800   (#4159 in manga) (1 valutazioni con 0 recensioni)	0  0  0 - 0,00% promosso	Comic Blade	cyberpunk  arti-marziali  Protagonista-femminile-forte  Androidi  Crimine  Forze-speciali	0 In lettura, 0 Completo, 0 Pausa, 1 Sospeso, 0 Da rileggere, 16 Da leggere - drop rate: 100,00%	"[""Trama: Nel futuro, viene scoperta una tecnologia per trasportare l'anima umana in oggetti inanimati. Questi androidi, dapprima, venivano usati per scopi edilizi o medici, tuttavia dopo poco tempo ad essi vennero aggiunti degli armamenti e presto vennero prodotti dei veri e propri androidi da combattimento, altrimenti detti Katana. Quando i crimini commessi usando i Katana aumentano, il governo istituisce l' AKCD (Anti-Katana Crime Division), affinché mantenga l'ordine. Seguiamo le vicende della squadra 8 dell'AKCD.""]"
https://www.animeclick.it/manga/22764/hitokui	Hitokui	Hito Kui	Shogakukan	Giappone	Youkan Oota	Mita	Shounen	Azione  Drammatico  Horror  Mistero  Psicologico  Soprannaturale	2012 - 2014	9	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Ura Sunday	mostri  Esperimenti-umani  Survival-Sopravvivenza  Sottotrama-romantica  Medici  Protagonista-maschile-intelligente	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 5 Da leggere	"['Trama: Una certa città viene colpita da una misteriosa serie di morti di massa; le varie vittime, tuttavia, non sembrano avere niente in comune se non proprio il fatto di essere morte tutte nello stesso momento. Akira Sasaki, specializzando in medicina, si ritrova improvvisamente coinvolto in uno di questi eventi di ""morti di massa""; per sopravvivere l\'uomo dovrà combattere per uscire da un misterioso labirinto in cui si aggira un mostro, detto ""Hitokui"", che ci ciba delle persone stesse. Riuscirà Sasaki a sfuggire alla morte e a far cessare per sempre questi omicidi di massa?']"
https://www.animeclick.it/manga/22765/hitokui-origin	Hitokui - Origin	Hito Kui - Origin	Shogakukan	Giappone	Youkan Oota	Mita	Shounen	Azione  Drammatico  Horror  Psicologico  Scolastico  Soprannaturale	2014 - 2017	10	completato	inedito	Nessuna	0,000	0  0  0 - 0,00% promosso	Ura Sunday	Scuola-superiore  mostri  Sottotrama-romantica	0 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 2 Da leggere	"['Trama: Prequel di Hitokui.', '', 'In città iniziano a verificarsi delle misteriose morti di massa in cui più persone muoiono di attacco di cuore nello stesso momento. Dietro a queste morti si nasconde un mostro, detto ""Hitokui"", dal quale le persone sono state mangiate: attirate in gruppo all\'interno del suo ""labirinto"", le vittime vengono infatti eliminate finché non ne rimane in vita soltanto una.', ""Youta, uno studente delle superiori, viene coinvolto in uno di questi eventi... ma le cose non vanno del tutto come previste dal mostro: il ragazzo infatti, dopo essere sopravvissuto, mantiene i ricordi di cosa è veramente successo. A quanto pare, tuttavia, il mondo dell'Hitokui non sembra aver intenzione di lasciarlo andare così presto...""]"
https://www.animeclick.it/manga/12257/lo-sguardo-di-catoblepas	Hitomi no Catoblepas	Hitomi no Catoblepas	Shueisha	Giappone	Yasuki Tanaka	Yasuki Tanaka	Shounen	Azione  Commedia  Soprannaturale	2007	2	completato	inedito	Nessuna	6,600   (#4642 in manga) (2 valutazioni con 1 recensioni)	0  0  0 - 0,00% promosso	Shuukan Shounen Jump	Abilità-speciali  Demoni  Cacciatori-di-demoni  Vicini-di-casa  manipolazione-del-tempo  finale-affrettato	0 In lettura, 2 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 19 Da leggere - drop rate: 0,00%	"['Trama: Di tanto in tanto nelle grandi metropoli accadono piccoli eventi misteriosi che solitamente hanno riscontro nella stampa locale per la durata di qualche giorno, prima che la routine quotidiana e la vita frenetica ne spazzi via il ricordo. Nonostante ciò, alcuni fatti si radicano nella memoria, e diventano leggende metropolitane. Altre continuano ad aleggiare tra gli abitanti dei quartieri e dei rioni che non hanno avuto risposte concrete dalle autorità. È in quest’ultimo caso che, con molta probabilità, il fatto accaduto non è legato alla realtà che conosciamo, ma a qualcosa che va oltre, e che può essere spiegato solo da chi conosce il modo di varcare quella intangibile soglia che congiunge il nostro quotidiano a quell\'""oltre"" che ci attrae e che temiamo…', ""Tokio è il giovane discendente di un’antica famiglia capace di varcare quella soglia, e lo 'yoma' che alberga all'interno del suo occhio sinistro, il famelico Catoblepas, gli dà il potere di fermare il tempo, benché questo danneggi fisicamente il ragazzo ogni volta che lo usa. Ma ora per Tokio è giunto il momento di decidere se lasciar correre i misteriosi eventi, in crescita esponenziale secondo una precisa catena, o se entrare in azione a rischio della propria vita…""]"
https://www.animeclick.it/manga/29914/Hitomi-chan-wa-Hitomishiri	Hitomi-chan wa Hitomishiri	Hitomi-chan Is Shy With Strangers	Akita Shoten	Giappone	Chorisuke Natsumi	Chorisuke Natsumi	Shounen	Commedia  Scolastico  Sentimentale  Slice of Life	2018	3	in corso	inedito	Nessuna	6,800   (#4064 in manga) (1 valutazioni con 0 recensioni)	0  0  0 - 0,00% promosso	Manga Cross	Protagonista-impacciata  Aspetto-diverso-dalla-personalità  Protagonista-timida  Protagonista-basso  Protagonista-alta  Protagonista-prosperosa	2 In lettura, 0 Completo, 0 Pausa, 0 Sospeso, 0 Da rileggere, 4 Da leggere - drop rate: 0,00%	"[""Trama: Un giorno, Yuu Usami, un normale studente delle superiori, incontra per caso Hitomi Takano, una ragazza dall'aspetto imponente e che incute timore. Sembra che lo stia fissando intensamente, ma Yuu non ne comprende il motivo... Nonostante Hitomi appaia spaventosa e goffa, in realtà è una ragazza gentile e adorabile che desidera diventare più socievole.""]"
