manga	link
ALICE IN BORDERLAND	https://www.animeclick.it/manga/13683/imawa-no-kuni-no-alice
ALICE TO TAIYOU	https://www.animeclick.it/manga/26702/alice-to-taiyou
ALICIA-SAN NO DIET QUEST	https://www.animeclick.it/manga/25701/alicia-san-no-diet-quest
ALITA LAST ORDER	https://www.animeclick.it/manga/9577/alita-last-order
ALIVE - EVOLUZIONE FINALE	https://www.animeclick.it/manga/10233/alive-final-evolution
ALLA RICERCA DI NEMO	https://www.animeclick.it/manga/10073/finding-nemo
AMAGAMI - DREAMY FOREVER	https://www.animeclick.it/manga/12945/amagami-dreamy-forever
AMAGAMI!	https://www.animeclick.it/manga/12943/amagami
AMAGI BRILLIANT PARK (K. YOSHIOKA)	https://www.animeclick.it/manga/15006/amagi-brilliant-park
AMAGOI	https://www.animeclick.it/manga/20048/amagoi
AMALGAM OF DISTORTION	https://www.animeclick.it/manga/19138/amalgam-of-distortion
AMANCHU!	https://www.animeclick.it/manga/10748/amanchu
AMANO KOZUE TANPENSHUU	https://www.animeclick.it/manga/10797/kozue-amano-tanpeshu
AMANO MEGUMI WA SUKI DARAKE!	https://www.animeclick.it/manga/18818/amano-megumi-wa-suki-darake
AMBASSADOR MAGMA	https://www.animeclick.it/manga/27636/magma-taishi
AME NO ASA SABU WA	https://www.animeclick.it/manga/29376/ame-no-asa-sabu-wa
ANA SATSUJIN	https://www.animeclick.it/manga/15242/ana-satsujin
ANAGLE MOLE	https://www.animeclick.it/manga/12452/anagle-mole
ANATA NO DANNA UWAKI SHITEMASU YO	https://www.animeclick.it/manga/24866/anata-no-danna-uwaki-shitemasu-yo
ANATA NO KODOU WO MISASETE.	https://www.animeclick.it/manga/28588/anata-no-kodou-wo-misasete
ANDROMEDA STORIES	https://www.animeclick.it/manga/10956/andromeda-stories
ANE LOG	https://www.animeclick.it/manga/14956/ane-log
ANEDOKI - LA TATA DEI TUOI SOGNI	https://www.animeclick.it/manga/11387/anedoki
ANGEL ARM	https://www.animeclick.it/manga/11840/angel-arm
ANGEL DENSETSU	https://www.animeclick.it/manga/11946/angel-densetsu
ANGEL VOICE	https://www.animeclick.it/manga/10206/angel-voice
ANGELIC LAYER	https://www.animeclick.it/manga/9614/angelic-layer
ANGELOID	https://www.animeclick.it/manga/10887/sora-no-otoshimono
ANGOLMOIS - GENKOU KASSENKI	https://www.animeclick.it/manga/19415/angolmois-genkou-kassenki
ANGRY	https://www.animeclick.it/manga/9889/angry
ANIKOI	https://www.animeclick.it/manga/12637/ani-koi
ANIMETEMAE! TENSEI NO MIKO	https://www.animeclick.it/manga/21807/animetemae-tensei-no-miko
ANNE FREAKS	https://www.animeclick.it/manga/9797/anne-freaks
ANO NATSU NO IVU	https://www.animeclick.it/manga/25525/ano-natsu-no-ivu
ANO NATSU: 1959	https://www.animeclick.it/manga/30923/anonatsu-1959
ANOHANA	https://www.animeclick.it/manga/12647/anohana
ANSATSU KYOUSHITSU SPIN-OFF KORO-SENSEI Q!	https://www.animeclick.it/manga/17070/ansatsu-kyoushitsu-spin-off-koro-sensei-q
AO NO ORCHESTRA	https://www.animeclick.it/manga/31236/ao-no-orchestra
AOHARU X KIKANJUU	https://www.animeclick.it/manga/15282/aoharu-x-kikanju
AOI HONO	https://www.animeclick.it/manga/14785/aoi-honoo
AOI SEKAI NO CHUUSHIN DE	https://www.animeclick.it/manga/12571/aoi-sekai-no-chuushin-de
AOZAKURA BOUEI DAIGAKUKOU MONOGATARI	https://www.animeclick.it/manga/23173/aozakura-bouei-daigakukou-monogatari
AOZORA SHOTTE	https://www.animeclick.it/manga/16091/aozora-shotte
AOZORA SHOUJOTAI	https://www.animeclick.it/manga/14820/aozora-shoujotai
APHORISM	https://www.animeclick.it/manga/12362/aphorism
APOSIMZ	https://www.animeclick.it/manga/20005/ningyou-no-kuni
APPARE! URAYASU TEKKIN KAZOKU	https://www.animeclick.it/manga/26707/appare-urayasu-tekkin-kazoku
APPLESEED	https://www.animeclick.it/manga/9646/appleseed
AQUARION - LA LEGGENDA DEL FUTURO	https://www.animeclick.it/manga/10459/aquarion-mirai-shinwa
AR∀GO	https://www.animeclick.it/manga/11635/arago
ARACHNID	https://www.animeclick.it/manga/12954/arachnid
ARAFOO KENJA NO ISEKAI SEIKATSU NIKKI	https://www.animeclick.it/manga/26134/arafoo-kenja-no-isekai-seikatsu-nikki
ARAIDOKI.	https://www.animeclick.it/manga/15008/araidoki
ARAMITAMA	https://www.animeclick.it/manga/22038/aramitama
ARATA PRIMAL	https://www.animeclick.it/manga/27498/arata-primal
ARCHLORD	https://www.animeclick.it/manga/10286/archlord
ARCOBALENO DI SPEZIE	https://www.animeclick.it/manga/9722/niji-iro-togarashi
AREA 88	https://www.animeclick.it/manga/14981/area-88
AREA D - INOU RYOUIKI	https://www.animeclick.it/manga/12569/area-d-inou-ryouiki
AREA NO KISHI	https://www.animeclick.it/manga/10913/area-no-kishi
ARES	https://www.animeclick.it/manga/12575/ares
ARI NO OU	https://www.animeclick.it/manga/18719/ari-no-ou
ARI TO KYOJIN	https://www.animeclick.it/manga/26017/ari-to-kyojin
ARIA	https://www.animeclick.it/manga/10005/aria
ARIADNE IN THE BLUE SKY	https://www.animeclick.it/manga/24105/soukyuu-no-ariadne
ARIFURETA NICHIJOU DE SEKAI SAIKYOU	https://www.animeclick.it/manga/27165/arifureta-nichijou-de-sekai-saikyou
ARIFURETA SHOKUGYOU DE SEKAI SAIKYOU	https://www.animeclick.it/manga/20181/arifureta-shokugyou-de-sekai-saikyou
ARMED GIRL'S MACHIAVELLISM	https://www.animeclick.it/manga/16954/busou-shoujo-machiavellianism
ARMS	https://www.animeclick.it/manga/10557/arms
AROUND 40 OTOKO NO ISEKAI TSUUHAN SEIKATSU	https://www.animeclick.it/manga/31107/arafo-otoko-no-isekai-tsuhan-seikatsu
ARRIVANO I SUPERBOYS	https://www.animeclick.it/manga/30494/akaki-chi-no-eleven
AS THE GODS WILL	https://www.animeclick.it/manga/12712/kamisama-no-iutoori
AS THE GODS WILL 2	https://www.animeclick.it/manga/14227/kami-sama-no-iutoori-ni
ASAGIRO - ASAGI OOKAMI	https://www.animeclick.it/manga/22228/asagiro-asagi-ookami
ASATTE NO HOUKOU	https://www.animeclick.it/manga/12930/asatte-no-houkou
ASAYAKE WA KOGANEIRO - THE IDOLM@STER	https://www.animeclick.it/manga/23536/asayake-wa-koganeiro-the-idolmaster
ASHI GIRL (RYUUJI GOTSUBO)	https://www.animeclick.it/manga/15640/ashi-girl-ryuji-gotsubo
ASHIGEI SHOUJO KOMURA-SAN	https://www.animeclick.it/manga/28601/ashigei-shoujo-komura-san
ASHITA NO FAMILIA	https://www.animeclick.it/manga/13325/ashita-no-familia
ASHITA NO JOE NI AKOGARETE	https://www.animeclick.it/manga/19826/ashita-no-joe-ni-akogarete
ASHITA NO KYOUKO-SAN	https://www.animeclick.it/manga/24072/ashita-no-kyouko-san
ASHITA WA DOYOUBI	https://www.animeclick.it/manga/22745/ashita-wa-doyoubi
ASHITA, CINEMA KASUMIZA DE	https://www.animeclick.it/manga/28626/ashita-cinema-kasumiza-de
ASSASSIN DE ARU ORE NO SUTETASU GA YUUSHA YORI MO AKIRAKA NI TSUYOI NODAGA	https://www.animeclick.it/manga/26618/assassin-de-aru-ore-no-sutetasu-ga-yuusha-yori-mo-akiraka-ni-tsuyoi-nodaga
ASSASSINATION CLASSROOM	https://www.animeclick.it/manga/12873/ansatsu-kyoushitsu
ASTRA LOST IN SPACE	https://www.animeclick.it/manga/19730/kanata-no-astra
ASTRO BOY	https://www.animeclick.it/manga/10723/astro-boy
ASTRO BOY (2003)	https://www.animeclick.it/manga/10032/astro-boy-2003
ASTRO CAT	https://www.animeclick.it/manga/11132/astro-cat
ASTROROBOT BLOCKER - CORPS IV MACHINE BLASTER	https://www.animeclick.it/manga/11710/astrorobot-blocker-corps-iv-machine-blaster
ASURA	https://www.animeclick.it/manga/13763/asura
ASURA'S WRATH - KAI - IL RITORNO	https://www.animeclick.it/manga/14026/asura-s-wrath-kai-il-ritorno
ATRAIL - NISEKAWITEKI NICHIJOU TO SENMITSU ELEMENT	https://www.animeclick.it/manga/22411/atrail-nisekawiteki-nichijou-to-senmitsu-element
ATSUATSU POT	https://www.animeclick.it/manga/19364/atsuatsu-pot
ATSUMARE! FUSHIGI KENKYU-BU	https://www.animeclick.it/manga/21045/atsumare-fushigi-kenkyu-bu
ATTACCO! A SCUOLA COI GIGANTI	https://www.animeclick.it/manga/14099/shingeki-kyojin-chuugakkou
AUGUST OUTLAW	https://www.animeclick.it/manga/22591/august-outlaw
AULA ALLA DERIVA	https://www.animeclick.it/manga/13722/hyouryuu-kyoushitsu
AURA - MARYUUINKOUGA SAIGO NO TATAKAI	https://www.animeclick.it/manga/16170/aura-maryuuinkouga-saigo-no-tatakai
AVANTI TUTTA COCO!	https://www.animeclick.it/manga/10716/avanti-tutta-coco
AVARTH	https://www.animeclick.it/manga/21572/avarth
AVENGERS / ZOMBIES ASSEMBLE	https://www.animeclick.it/manga/20881/avengers-zombies-assemble
AYAKASHII NO NI	https://www.animeclick.it/manga/31776/ayakashii-no-ni
AYANASHI	https://www.animeclick.it/manga/22011/ayanashi
AYANE OUJOU-SAMA WA SANOVA B**CH NI ARASERARERU	https://www.animeclick.it/manga/22013/ayane-oujou-sama-wa-sanova-bitch-ni-araserareru
AYASHIYA	https://www.animeclick.it/manga/21277/ayashiya
AZUMANGA DAIOH	https://www.animeclick.it/manga/9680/azumanga-daioh
B GROUP NO SHOUNEN	https://www.animeclick.it/manga/24614/b-group-no-shounen
B GROUP NO SHOUNEN X	https://www.animeclick.it/manga/24615/b-group-no-shounen-x
B.ICHI	https://www.animeclick.it/manga/12304/b-ichi
B'T X	https://www.animeclick.it/manga/10305/btx
BABIL JUNIOR	https://www.animeclick.it/manga/9564/babil-junior
BABY FACE	https://www.animeclick.it/manga/10592/baby-face
BABY STEPS	https://www.animeclick.it/manga/11579/baby-steps
BAD COMPANY	https://www.animeclick.it/manga/9671/bad-company
BAGGATAWAY	https://www.animeclick.it/manga/10510/baggataway
BAKA TO TEST TO SHOUKANJUU	https://www.animeclick.it/manga/11577/baka-to-test-to-shoukanjuu
BAKA TO TEST TO SHOUKANJUU DYA	https://www.animeclick.it/manga/14189/baka-to-test-to-shoukanjuu-dya
BAKEMONOGATARI	https://www.animeclick.it/manga/24538/bakemonogatari
BAKI GAIDEN - KENJIN	https://www.animeclick.it/manga/18224/baki-gaiden-kenjin
BAKI GAIDEN - KIZUZURA	https://www.animeclick.it/manga/18223/baki-gaiden-kizuzura
BAKI GAIDEN - SCARFACE	https://www.animeclick.it/manga/15587/baki-gaiden-scarface
BAKI THE GRAPPLER GAIDEN	https://www.animeclick.it/manga/18220/baki-the-grappler-gaiden
BAKI-DOU	https://www.animeclick.it/manga/15074/baki-dou
BAKI-DOU (2018)	https://www.animeclick.it/manga/30333/baki-dou-2
BAKUDAN!	https://www.animeclick.it/manga/21850/bakudan-bakumatsu-danshi
